Marker1,Marker2,Marker3,x,y
2.47344,2.87331,6.953176,2,3
2.328,3.033314,6.96736,2,3
2.353377,2.874483,7.144211,2,3
2.300781,2.92785,7.142758,2,3
2.261112,2.99859,7.9344,1,3
2.251171,3.016299,7.817791,1,3
2.042408,3.233869,7.870742,1,3
2.102926,3.175377,8.102962,1,3
1.307518,4.163649,8.171152,1,2
1.394262,4.036278,8.03196,1,2
1.471415,3.915151,8.110769,1,2
1.333877,4.135444,8.320838,1,2
1.824439,4.186543,7.105834,2,2
1.889621,4.194096,7.092901,2,2
1.764578,4.206647,7.200609,2,2
2.37448,4.50913,6.365756,3,2
2.202615,4.371635,6.531037,3,2
2.30258,4.37481,6.463843,3,2
3.185596,5.022875,5.497485,4,2
3.342628,5.003689,5.314256,4,2
3.315185,5.02293,5.332646,4,2
4.931373,6.268908,3.72021,6,2
4.907845,6.287575,3.761684,6,2
4.961771,6.243056,3.679239,6,2
4.876657,6.340258,3.80107,6,2
4.654244,6.823643,4.486588,6,1
4.715995,6.777125,4.352867,6,1
4.850378,6.896441,4.28223,6,1
4.83284,6.989716,4.405516,6,1
3.629385,6.117074,5.222982,5,1
3.653268,6.037462,5.135401,5,1
3.858626,6.157776,4.972519,5,1
3.863015,6.341549,5.112406,5,1
2.651153,5.517468,6.001696,4,1
2.62429,5.379207,5.962975,4,1
2.887909,5.533226,5.739904,4,1
2.868479,5.718477,5.872459,4,1
1.684536,5.079753,6.854061,3,1
1.764094,4.951294,6.723079,3,1
1.915434,5.061711,6.599354,3,1
1.872624,5.229544,6.722092,3,1
0.7656689,4.784648,7.72789,2,1
0.8947906,4.603457,7.572522,2,1
1.022973,4.722523,7.437376,2,1
0.991338,4.96693,7.537535,2,1
0.984395,4.986268,7.557881,2,1
1.016583,5.039326,8.436129,1,1
0.4106675,4.874619,8.547646,1,1
0.3862767,4.784011,8.554279,1,1
0.3938671,4.788902,8.564342,1,1
0.3959127,4.748717,8.533643,1,1
2.103536,2.790673,7.792369,1,3
2.220785,3.015363,6.932862,2,3
2.084065,3.12509,6.99629,2,3
2.114987,2.978784,7.141278,2,3
2.822555,3.314444,6.010396,3,3
2.825301,3.468171,5.913231,3,3
2.657006,3.587014,5.998382,3,3
2.627311,3.355279,6.158583,3,3
3.645541,4.15028,4.866886,4,3
3.485745,4.196054,4.987228,4,3
3.365375,3.991089,5.169078,4,3
3.3715,3.99116,5.16392,4,3
3.370636,3.976173,5.17104,4,3
3.532403,3.882223,5.077504,4,3
4.564623,4.946779,4.052406,5,3
4.49493,4.873905,3.917639,5,3
4.303665,4.88147,4.082238,5,3
4.138445,4.611663,4.291894,5,3
4.044683,4.685273,4.466333,5,3
