pred x,pred y,actual x,actual y,distance
1.710197152,1.98786308,2,1,1.029494612
2.500056305,1.963098028,3,1,1.085127416
2.722796115,1.761500636,4,1,1.48698789
3.397290535,2.369027909,5,1,2.107822346
3.962408512,1.725386069,6,1,2.162860149
2.531968714,2.784504681,1,2,1.721155349
2.949654153,2.43973525,2,2,1.046522862
3.167934272,2.174370931,3,2,0.242089118
4.147097914,2.445140972,4,2,0.468815829
3.61610096,1.69742836,5,2,1.416589619
2.517981209,1.653605514,1,3,2.029050285
3.705610357,2.940873581,2,3,1.706634882
2.533001867,2.741918112,3,3,0.533566788
4.559851911,3.19873709,4,3,0.594079619
5.003586184,2.799923107,5,3,0.20010903
3.884671763,2.981251496,6,3,2.115411321
2.883280109,4.674325243,1,4,2.000364592
3.367810251,4.546332657,2,4,1.472882974
2.162294015,4.36772116,3,4,0.914860737
4.130221982,4.150847035,4,4,0.199280186
3.678594263,4.370497078,5,4,1.372363365
3.37687289,4.209050836,6,4,2.631444107
4.805989595,3.337506767,7,4,2.291850549
6.28149036,4.305210263,8,4,1.745402157
7.832577011,4.049129694,9,4,1.168456316
3.232310642,2.865318187,1,5,3.088701547
3.579273216,2.750183507,2,5,2.748777572
4.350873263,3.714940688,3,5,1.864466682
4.230172464,3.039363372,4,5,1.97410115
4.700912115,2.72623087,5,5,2.293355537
6.453474386,3.373280184,6,5,1.688744024
6.90554747,3.97544128,7,5,1.028903227
7.005445699,3.540973718,8,5,1.765756481
4.674327003,3.777297875,9,5,4.495158214
1.730526996,4.372206141,2,6,1.649948044
3.199907751,3.930004543,3,6,2.079626
3.271603533,2.241148451,5,6,4.137187367
3.084611648,4.206345716,5,6,2.624101414
3.729762582,3.615823128,4,6,2.399443189
1.931331643,3.949061605,3,6,2.312660883
1.924583545,4.729544957,2,6,1.272691502
1.743566117,4.147337856,1,5,1.131336954
2.515582957,4.507196205,2,5,0.713219017
2.452574471,4.003161303,3,5,1.137260786
4.983962884,3.538047516,4,5,1.76223949
4.319229314,3.294711839,5,5,1.836152619
5.931460829,3.360103923,6,5,1.641327743
6.116867101,3.269746215,7,5,1.942601831
6.16490148,3.216252597,8,5,2.559168103
7.702698111,3.57783918,9,5,1.924976257
4.516087663,2.462651432,8,4,3.808029122
4.539006984,3.208435012,7,4,2.585161843
4.273673254,2.774657335,6,4,2.116995201
4.666533556,3.500337316,5,4,0.600718459
4.331626738,2.761880018,4,4,1.281763388
1.789245381,3.347895687,3,4,1.375196998
2.174699084,3.182613802,2,4,0.835846856
1.123078729,3.683371713,1,4,0.339708471
2.47973253,3.046448905,1,3,1.480461368
3.658784478,3.68904954,2,3,1.796205783
3.884306034,2.560560474,3,3,0.987473675
3.700190966,1.866406708,4,3,1.17256949
5.518829973,3.340271863,5,3,0.620459089
6.200414838,3.092281162,6,3,0.220639797
3.856561434,2.106745956,5,2,1.148410403
4.09984954,2.302572461,4,2,0.318622072
3.292762037,2.564698216,3,2,0.636076792
2.627762414,2.109857542,2,2,0.637302383
1.688806969,2.928096719,1,2,1.155776172
2.222919371,1.614819382,2,1,0.653984647
2.397754619,1.67693893,3,1,0.906060602
4.245787338,2.402929356,4,1,1.424297088
3.924689592,2.87724462,5,1,2.163409309
4.556679458,2.269117468,6,1,1.921934789
