9,5,-33,-32,-42,-49
9,5,-42,-41,-52,-41
9,5,-48,-23,-57,-45
8,5,-35,-43,-35,-44
8,5,-41,-33,-41,-35
8,5,-45,-32,-38,-48
7,5,-40,-45,-39,-44
7,5,-41,-39,-42,-42
7,5,-42,-29,-41,-43
6,5,-37,-45,-44,-44
6,5,-36,-41,-45,-38
6,5,-44,-29,-36,-40
5,5,-40,-47,-41,-36
5,5,-40,-36,-42,-33
5,5,-42,-37,-38,-42
4,5,-34,-46,-41,-36
4,5,-43,-38,-43,-27
4,5,-42,-39,-32,-35
3,5,-32,-43,-44,-30
3,5,-31,-51,-48,-21
3,5,-39,-41,-42,-31
2,5,-34,-46,-43,-30
2,5,-33,-46,-50,-22
2,5,-37,-43,-42,-31
1,5,-33,-51,-47,-26
1,5,-38,-51,-51,-29
1,5,-36,-44,-46,-26
2,6,-36,-43,-43,-36
2,6,-40,-43,-40,-22
2,6,-31,-49,-50,-26
3,6,-37,-41,-42,-25
3,6,-34,-45,-44,-27
3,6,-38,-44,-37,-31
4,6,-43,-58,-47,-38
4,6,-40,-44,-46,-26
4,6,-46,-45,-47,-29
5,6,-43,-50,-42,-38
5,6,-44,-38,-46,-41
5,6,-42,-42,-43,-43
5,6,-40,-40,-42,-48
8,4,-39,-34,-38,-42
8,4,-39,-27,-37,-41
8,4,-46,-27,-38,-45
7,4,-36,-41,-35,-36
7,4,-38,-36,-34,-41
7,4,-43,-28,-40,-38
6,4,-40,-42,-29,-42
6,4,-39,-35,-45,-40
6,4,-42,-30,-43,-46
5,4,-39,-43,-28,-35
5,4,-38,-29,-28,-41
5,4,-43,-33,-33,-43
4,4,-33,-41,-41,-31
4,4,-37,-38,-43,-35
4,4,-40,-43,-43,-44
3,4,-34,-50,-47,-37
3,4,-35,-46,-40,-31
3,4,-40,-41,-39,-35
2,4,-36,-44,-55,-37
2,4,-37,-40,-43,-27
2,4,-38,-44,-36,-27
1,4,-31,-53,-45,-29
1,4,-35,-45,-47,-32
1,4,-36,-41,-40,-29
1,3,-28,-53,-48,-38
1,3,-38,-44,-42,-31
1,3,-30,-47,-44,-32
2,3,-36,-39,-40,-41
2,3,-34,-41,-44,-33
2,3,-31,-52,-46,-43
3,3,-32,-46,-41,-43
3,3,-34,-39,-48,-41
3,3,-33,-43,-42,-43
4,3,-32,-48,-41,-44
4,3,-32,-49,-35,-46
4,3,-38,-45,-32,-47
5,3,-36,-46,-42,-37
5,3,-37,-31,-42,-43
5,3,-38,-37,-38,-47
6,3,-39,-44,-28,-43
6,3,-36,-36,-38,-43
6,3,-43,-37,-29,-42
5,2,-31,-48,-26,-45
5,2,-29,-44,-38,-45
5,2,-41,-43,-26,-53
4,2,-25,-45,-40,-43
4,2,-36,-42,-37,-43
4,2,-38,-38,-37,-46
3,2,-21,-50,-50,-42
3,2,-29,-45,-42,-44
3,2,-35,-41,-38,-51
2,2,-23,-51,-48,-35
2,2,-25,-40,-47,-36
2,2,-34,-41,-38,-41
1,2,-26,-42,-41,-31
1,2,-33,-46,-40,-36
1,2,-21,-51,-45,-37
2,1,-20,-53,-44,-39
2,1,-21,-52,-43,-34
2,1,-31,-41,-41,-35
3,1,-21,-50,-46,-43
3,1,-24,-50,-47,-40
3,1,-34,-47,-41,-42
4,1,-35,-44,-32,-43
4,1,-25,-46,-38,-34
4,1,-26,-49,-37,-50
5,1,-31,-46,-33,-42
5,1,-30,-57,-48,-48
5,1,-35,-49,-26,-42
6,1,-34,-49,-32,-48
6,1,-33,-48,-25,-41
6,1,-34,-49,-31,-47
2,6,-41,-43,-36,-28
2,6,-38,-49,-36,-27
2,6,-33,-43,-43,-24
3,6,-37,-55,-42,-23
3,6,-36,-47,-39,-25
3,6,-41,-47,-39,-38
4,6,-38,-46,-46,-29
4,6,-38,-47,-49,-30
4,6,-41,-46,-43,-33
5,6,-42,-46,-47,-47
5,6,-43,-43,-48,-42
5,6,-39,-37,-43,-42
2,1,-23,-52,-44,-38
2,1,-22,-45,-43,-37
2,1,-33,-44,-35,-42
3,1,-25,-52,-44,-43
3,1,-26,-47,-42,-38
3,1,-31,-47,-34,-43
4,1,-29,-50,-37,-44
4,1,-36,-47,-45,-39
4,1,-36,-40,-36,-40
5,1,-26,-48,-43,-46
5,1,-31,-47,-29,-40
5,1,-39,-45,-25,-46
6,1,-32,-51,-31,-44
6,1,-31,-45,-23,-45
6,1,-35,-44,-27,-46
5,2,-29,-49,-41,-46
5,2,-30,-46,-31,-48
5,2,-41,-42,-33,-51
4,2,-27,-48,-46,-45
4,2,-27,-43,-28,-46
4,2,-38,-45,-37,-52
8,4,-39,-46,-46,-44
8,4,-44,-28,-38,-41
8,4,-49,-28,-36,-52
7,4,-41,-39,-32,-44
7,4,-38,-36,-35,-41
7,4,-42,-29,-39,-43
6,4,-42,-45,-27,-43
6,4,-41,-36,-41,-43
6,4,-42,-29,-39,-51
5,4,-39,-49,-29,-45
5,4,-42,-32,-26,-41
5,4,-41,-33,-28,-42
4,4,-33,-47,-38,-37
4,4,-32,-44,-42,-42
4,4,-40,-39,-35,-49
3,4,-37,-45,-40,-44
3,4,-38,-49,-42,-30
3,4,-36,-54,-47,-37
2,4,-41,-44,-42,-38
2,4,-41,-51,-42,-28
2,4,-38,-51,-43,-42
1,4,-31,-51,-50,-31
1,4,-37,-44,-49,-32
1,4,-33,-48,-44,-29
1,3,-35,-50,-52,-38
1,3,-37,-52,-45,-32
1,3,-42,-42,-44,-30
2,3,-34,-50,-49,-38
2,3,-38,-42,-42,-38
2,3,-29,-40,-39,-35
